UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
HOUR,2025-05-12 07:00:00,707,binance,BTCUSDT,104384.8,105819.45,104152.84,104467.99,1747033200,1747036799,104384.81,105819.45,1747033518,104152.84,1747036577,104467.99,626827,314507,312320,0,5543.61229,583015990.875228,3178.87923,334450358.892088,2364.73306,248565631.983989,0,0
HOUR,2025-05-12 08:00:00,707,binance,BTCUSDT,104467.99,104736.45,104077.7,104614.04,1747036800,1747040399,104467.99,104736.45,1747040071,104077.7,1747037550,104614.04,194963,106980,87983,0,1072.02345,111905888.564041,594.55986,62069649.3421066,477.46359,49836239.2219141,0,0
HOUR,2025-05-12 09:00:00,707,binance,BTCUSDT,104614.04,104682.68,104375.0,104459.34,1747040400,1747043999,104614.05,104682.68,1747040552,104375.0,1747043333,104459.34,133091,74781,58310,0,890.19411,93014438.462021,528.53897,55221618.1236646,361.65514,37792820.3383564,0,0
HOUR,2025-05-12 10:00:00,707,binance,BTCUSDT,104459.34,104539.69,104150.0,104527.62,1747044000,1747047599,104459.33,104539.69,1747046419,104150.0,1747045221,104527.62,152649,82945,69704,0,881.93559,92039790.5543216,470.15031,49067975.9208746,411.78528,42971814.633447,0,0
HOUR,2025-05-12 11:00:00,707,binance,BTCUSDT,104527.62,104628.0,103625.0,103762.9,1747047600,1747051199,104527.62,104628.0,1747048061,103625.0,1747051094,103762.9,182914,88146,94768,0,1351.4493,140719295.621904,531.75423,55373257.9421879,819.69507,85346037.6798916,0,0
HOUR,2025-05-12 12:00:00,707,binance,BTCUSDT,103762.9,104145.41,103729.04,103881.15,1747051200,1747054799,103762.89,104145.41,1747053864,103729.04,1747051206,103881.15,184221,100937,83284,0,1551.13482,161261871.292497,906.57753,94244899.2011359,644.55729,67016972.0915204,0,0
HOUR,2025-05-12 13:00:00,707,binance,BTCUSDT,103881.15,104629.96,103675.57,104319.99,1747054800,1747058399,103881.14,104629.96,1747058010,103675.57,1747057365,104319.99,341969,171502,170467,0,1481.23564,154282473.556127,831.1272,86575190.8871221,650.10844,67707282.6689806,0,0
HOUR,2025-05-12 14:00:00,707,binance,BTCUSDT,104319.99,104400.0,102544.25,102799.99,1747058400,1747061999,104320.0,104400.0,1747058426,102544.25,1747060250,102799.99,548184,263288,284896,0,3039.45535,314175855.851944,1372.36915,141908337.88774,1667.0862,172267517.964238,0,0
HOUR,2025-05-12 15:00:00,707,binance,BTCUSDT,102799.99,103206.35,102388.0,102527.26,1747062000,1747065599,102799.99,103206.35,1747063281,102388.0,1747064999,102527.26,404857,210234,194623,0,1810.41867,185995047.305257,929.71759,95530711.464265,880.70108,90464335.840746,0,0
HOUR,2025-05-12 16:00:00,707,binance,BTCUSDT,102527.26,103075.09,102421.83,102856.06,1747065600,1747069199,102527.27,103075.09,1747068621,102421.83,1747065960,102856.06,240198,129307,110891,0,986.02627,101379865.479461,537.57126,55270237.3567125,448.45501,46109628.1227436,0,0
HOUR,2025-05-12 17:00:00,707,binance,BTCUSDT,102856.06,103088.88,102529.52,102556.19,1747069200,1747072799,102856.07,103088.88,1747069902,102529.52,1747072748,102556.19,159134,80507,78627,0,669.75274,68873032.0959726,369.64105,38013674.523755,300.11169,30859357.5722176,0,0
HOUR,2025-05-12 18:00:00,707,binance,BTCUSDT,102556.19,102660.54,100718.37,101630.59,1747072800,1747076399,102556.2,102660.54,1747073023,100718.37,1747075797,101630.59,502876,246966,255910,0,3108.20166,315779228.093435,1412.84858,143560664.835792,1695.35308,172218563.256843,0,0
HOUR,2025-05-12 19:00:00,707,binance,BTCUSDT,101630.59,102122.02,101459.7,101860.0,1747076400,1747079999,101630.59,102122.02,1747077446,101459.7,1747078854,101860.0,255404,134806,120598,0,1290.66176,131448239.21868,668.81024,68121245.5770208,621.85152,63326993.6416539,0,0
HOUR,2025-05-12 20:00:00,707,binance,BTCUSDT,101860.0,102881.39,101770.2,102678.51,1747080000,1747083599,101859.99,102881.39,1747083332,101770.2,1747080246,102678.51,167292,94599,72693,0,787.00596,80517634.6041822,457.97627,46854834.6428505,329.02969,33662799.9613317,0,0
HOUR,2025-05-12 21:00:00,707,binance,BTCUSDT,102678.51,102743.43,102352.86,102510.1,1747083600,1747087199,102678.52,102743.43,1747083875,102352.86,1747085518,102510.1,94883,47337,47546,0,479.23848,49130321.7444098,227.3121,23301471.9850344,251.92638,25828849.7593754,0,0
HOUR,2025-05-12 22:00:00,707,binance,BTCUSDT,102510.1,102941.06,102352.9,102856.38,1747087200,1747090799,102509.36,102941.06,1747090089,102352.9,1747087352,102856.38,105954,53589,52365,0,449.28013,46149052.899827,269.61419,27698089.5450046,179.66594,18450963.3548224,0,0
HOUR,2025-05-12 23:00:00,707,binance,BTCUSDT,102856.38,103127.92,102791.31,102791.32,1747090800,1747094399,102856.59,103127.92,1747092303,102791.31,1747094399,102791.32,69524,35497,34027,0,421.84832,43436032.7699985,236.69245,24376367.3932998,185.15587,19059665.3766987,0,0
HOUR,2025-05-13 00:00:00,707,binance,BTCUSDT,102791.32,102791.32,102165.39,102260.01,1747094400,1747097999,102791.32,102791.32,1747094439,102165.39,1747097617,102260.01,153413,76249,77164,0,749.28213,76774605.5054135,273.34123,28004691.1638554,475.9409,48769914.3415581,0,0
